GameID,AwayTeam,AwayTeamScore,HomeTeam,HomeTeamScore
401169521,248,78,218,74
401169529,248,61,202,63
401169534,2567,62,248,71
401169537,248,65,2724,54
401169546,41,59,248,63
401169551,58,49,248,68
401169555,248,69,151,59
401169559,248,62,2132,64
401169567,2655,62,248,75
401169572,2724,43,248,76
401169577,248,62,58,58
401169473,248,72,2567,73
401169480,202,43,248,76
401169484,248,59,235,60
401166022,2132,56,194,64
401169973,2181,59,2132,81
401169974,2010,53,2132,85
401169975,2287,65,2132,66
401185837,189,91,2132,84
401186100,2674,77,2132,81
401169976,2439,65,2132,72
401169457,2132,66,2752,73
401169977,2142,67,2132,66
401169895,2633,66,2132,78
401169978,2294,77,2132,70
401169515,41,51,2132,67
401169519,2132,71,2655,76
401169522,202,44,2132,75
401169526,2132,68,2116,54
401169536,2132,49,235,60
401169541,151,57,2132,82
401169543,2132,89,218,82
401169552,2567,43,2132,65
401169566,2132,80,2724,79
401169573,2132,71,41,72
401169579,235,86,2132,92
401169474,2132,70,151,67
401169477,2116,89,2132,87
401169487,2724,64,2132,67
401170038,2277,72,202,80
401170039,202,59,250,73
401170040,198,67,202,74
401170041,2046,65,202,72
401170042,2545,66,202,73
401170043,2569,47,202,78
401169867,202,67,238,58
401170044,2029,39,202,72
401170045,2032,66,202,63
401170046,68,56,202,69
401169885,202,79,8,98
401170047,36,111,202,104
401169671,202,67,2306,69
401169517,218,44,202,70
401169533,202,65,151,49
401169540,202,67,2655,54
401169545,235,40,202,80
401169550,202,79,41,75
401169560,2724,51,202,54
401169565,41,72,202,56
401169571,202,75,2116,83
401169576,151,56,202,70
401169472,202,56,58,48
401169485,2567,57,202,79
401170055,2437,54,2724,68
401170056,2640,63,2724,69
401170057,2630,62,2724,103
401170058,2241,52,2724,74
401170059,198,59,2724,68
401169451,2579,47,2724,70
401186474,277,75,2724,63
401170060,2110,69,2724,95
401169458,2724,80,197,61
401169463,201,75,2724,80
401169465,2670,63,2724,73
401170061,2000,66,2724,84
401169513,151,69,2724,75
401169469,145,54,2724,74
401169525,235,67,2724,76
401169530,2724,89,41,86
401169535,2724,53,218,65
401169542,2724,56,58,43
401169549,2116,79,2724,87
401169578,2724,75,2116,58
401169475,2655,57,2724,82
401169482,58,55,2724,65
401170006,55,65,2567,74
401170007,2443,64,2567,77
401170008,2296,63,2567,80
401170009,2567,59,339,57
401170010,2567,72,2439,68
401170012,2000,51,2567,70
401170013,2466,51,2567,77
401168389,46,91,2567,74
401169897,2567,85,61,87
401170014,2247,76,2567,85
401169514,58,64,2567,82
401170015,2567,92,238,81
401169523,2116,74,2567,81
401169528,2567,68,151,71
401169539,218,52,2567,68
401169544,151,64,2567,84
401169548,2567,74,235,70
401169561,2655,67,2567,82
401169568,2567,90,218,97
401169574,41,75,2567,79
401169479,2567,72,2655,80
401170001,2569,64,235,97
401169442,82,46,235,92
401169444,2483,82,235,74
401170002,2016,56,235,102
401170003,2031,58,235,68
401169854,145,86,235,87
401168618,152,78,235,83
401169455,71,56,235,71
401170004,235,65,5,57
401169462,235,51,2633,47
401170005,2296,49,235,77
401169467,2443,55,235,97
401169511,2655,73,235,84
401169468,61,65,235,62
401169531,235,68,58,64
401169553,235,59,2116,57
401169558,41,63,235,70
401169563,218,65,235,79
401169569,58,75,235,73
401169476,235,61,41,64
401169478,151,73,235,77
401169979,2529,67,41,89
401169445,2603,96,41,87
